0
0 1600 74.2976 1610 89.7309 1027
1 4147.73 559.385 4152.73 559.385 0
1 4347.73 560.917 4352.73 560.917 0
1 4172.73 560.917 4167.73 560.917 0
3 6660 479.351 6655 479.351 101
3 6460 479.351 6455 479.351 101
3 6260 479.351 6255 479.351 101
3 6060 479.351 6055 479.351 101
3 7390 479.351 7385 479.351 101
6 1000 600 1000 600 0
6 -1400 400 -1400 400 0
6 1600 600 1600 600 0
6 2200 600 2200 600 0
6 2800 400 2800 400 0
6 3000 600 3000 600 0
6 4500 600 4500 600 0
6 5000 600 5000 600 0
6 5200 550 5200 550 0
6 6900 450 6900 450 0
6 7630 400 7630 400 0
6 7750 500 7750 500 0
6 8500 650 8500 650 0
6 8650 600 8650 600 0
6 8800 550 8800 550 0
6 8950 500 8950 500 0
6 9100 450 9100 450 0
6 9250 400 9250 400 0
6 9400 350 9400 350 0
6 9550 300 9550 300 0
6 9400 650 9400 650 0
6 9550 600 9550 600 0
9 9870 620 9870 620 0
9 -1000 620 -1000 620 0
9 1900 620 1900 620 0
9 2020 620 2020 620 0
8 10500 0 10500 0 0
5 -2000 700 -2000 700 0
5 -1000 700 -1000 700 0
5 0 700 0 700 0
5 1000 700 1000 700 0
5 2000 700 2000 700 0
5 3000 700 3000 700 0
5 4000 700 4000 700 0
5 5000 700 5000 700 0
5 6000 700 6000 700 0
5 7000 700 7000 700 0
5 8000 700 8000 700 0
5 9000 700 9000 700 0
5 10000 700 10000 700 0
