1
0 1700 299 1710 299 0 
1 1935 560 1940 560 2 
1 4045 560 4050 560 2 
1 4245 560 4250 560 2 
1 6280 560 6275 560 2 
1 5980 560 5975 560 2 
1 6115 560 6120 560 2 
6 1000 600 1000 600 0 
6 -1400 400 -1400 400 0 
6 1600 600 1600 600 0 
6 2200 600 2200 600 0 
6 2800 400 2800 400 0 
6 3000 600 3000 600 0 
6 4500 600 4500 600 0 
6 5000 600 5000 600 0 
6 5200 550 5200 550 0 
6 5400 500 5400 500 0 
6 5600 450 5600 450 0 
6 6900 450 6900 450 0 
6 7630 400 7630 400 0 
6 7750 500 7750 500 0 
6 8500 650 8500 650 0 
6 8650 600 8650 600 0 
6 8800 550 8800 550 0 
6 8950 500 8950 500 0 
6 9100 450 9100 450 0 
6 9250 400 9250 400 0 
6 9400 350 9400 350 0 
6 9550 300 9550 300 0 
6 9400 650 9400 650 0 
6 9550 600 9550 600 0 
8 10500 0 10500 0 0 
5 -2000 700 -2000 700 0 
5 -1000 700 -1000 700 0 
5 0 700 0 700 0 
5 1000 700 1000 700 0 
5 2000 700 2000 700 0 
5 3000 700 3000 700 0 
5 4000 700 4000 700 0 
5 5000 700 5000 700 0 
5 6000 700 6000 700 0 
5 7000 700 7000 700 0 
5 8000 700 8000 700 0 
5 9000 700 9000 700 0 
5 10000 700 10000 700 0 
0 1110 300 1120 300 2 
